cnt,date,year,mnth
1951397,1991-01-01,1991,JAN
2323549,1991-02-01,1991,FEB
2933945,1991-03-01,1991,MAR
3824119,1991-04-01,1991,APR
5920682,1991-05-01,1991,MAY
8722404,1991-06-01,1991,JUN
12315790,1991-07-01,1991,JUL
12052534,1991-08-01,1991,AUG
7620571,1991-09-01,1991,SEP
5754809,1991-10-01,1991,OCT
2703940,1991-11-01,1991,NOV
2159117,1991-12-01,1991,DEC
2279474,1992-01-01,1992,JAN
2439909,1992-02-01,1992,FEB
3194651,1992-03-01,1992,MAR
4465503,1992-04-01,1992,APR
6324626,1992-05-01,1992,MAY
9118665,1992-06-01,1992,JUN
11964891,1992-07-01,1992,JUL
11783847,1992-08-01,1992,AUG
7562359,1992-09-01,1992,SEP
5818071,1992-10-01,1992,OCT
2780321,1992-11-01,1992,NOV
2127477,1992-12-01,1992,DEC
2207949,1993-01-01,1993,JAN
2404412,1993-02-01,1993,FEB
3177489,1993-03-01,1993,MAR
4436177,1993-04-01,1993,APR
6194253,1993-05-01,1993,MAY
9102475,1993-06-01,1993,JUN
12606091,1993-07-01,1993,JUL
12410550,1993-08-01,1993,AUG
8114312,1993-09-01,1993,SEP
6162956,1993-10-01,1993,OCT
2827061,1993-11-01,1993,NOV
2269952,1993-12-01,1993,DEC
2195886,1994-01-01,1994,JAN
2438798,1994-02-01,1994,FEB
3481702,1994-03-01,1994,MAR
4302254,1994-04-01,1994,APR
6090104,1994-05-01,1994,MAY
9216274,1994-06-01,1994,JUN
12822311,1994-07-01,1994,JUL
12650936,1994-08-01,1994,AUG
8199756,1994-09-01,1994,SEP
6151733,1994-10-01,1994,OCT
2996095,1994-11-01,1994,NOV
2388130,1994-12-01,1994,DEC
2333204,1995-01-01,1995,JAN
2648724,1995-02-01,1995,FEB
3596374,1995-03-01,1995,MAR
4803785,1995-04-01,1995,APR
6247322,1995-05-01,1995,MAY
9501810,1995-06-01,1995,JUN
13778971,1995-07-01,1995,JUL
12792543,1995-08-01,1995,AUG
8636494,1995-09-01,1995,SEP
6292893,1995-10-01,1995,OCT
2935952,1995-11-01,1995,NOV
1885389,1995-12-01,1995,DEC
2009392,1996-01-01,1996,JAN
2739510,1996-02-01,1996,FEB
3595741,1996-03-01,1996,MAR
4495400,1996-04-01,1996,APR
6245138,1996-05-01,1996,MAY
9548698,1996-06-01,1996,JUN
12976937,1996-07-01,1996,JUL
12544140,1996-08-01,1996,AUG
8448186,1996-09-01,1996,SEP
6151867,1996-10-01,1996,OCT
3000100,1996-11-01,1996,NOV
2528894,1996-12-01,1996,DEC
2329844,1997-01-01,1997,JAN
2699783,1997-02-01,1997,FEB
3959751,1997-03-01,1997,MAR
4261494,1997-04-01,1997,APR
6662571,1997-05-01,1997,MAY
9602807,1997-06-01,1997,JUN
13557472,1997-07-01,1997,JUL
12668376,1997-08-01,1997,AUG
8358386,1997-09-01,1997,SEP
6449324,1997-10-01,1997,OCT
3279935,1997-11-01,1997,NOV
2480986,1997-12-01,1997,DEC
2381042,1998-01-01,1998,JAN
2637380,1998-02-01,1998,FEB
3533753,1998-03-01,1998,MAR
4716857,1998-04-01,1998,APR
6600087,1998-05-01,1998,MAY
9363693,1998-06-01,1998,JUN
13355325,1998-07-01,1998,JUL
12495656,1998-08-01,1998,AUG
8486599,1998-09-01,1998,SEP
6318477,1998-10-01,1998,OCT
3551879,1998-11-01,1998,NOV
2469663,1998-12-01,1998,DEC
2428692,1999-01-01,1999,JAN
2698344,1999-02-01,1999,FEB
3799036,1999-03-01,1999,MAR
4511063,1999-04-01,1999,APR
6645667,1999-05-01,1999,MAY
9342056,1999-06-01,1999,JUN
13205960,1999-07-01,1999,JUL
11840039,1999-08-01,1999,AUG
8308516,1999-09-01,1999,SEP
6290258,1999-10-01,1999,OCT
3575627,1999-11-01,1999,NOV
2686981,1999-12-01,1999,DEC
2501721,2000-01-01,2000,JAN
2852882,2000-02-01,2000,FEB
3748697,2000-03-01,2000,MAR
4623281,2000-04-01,2000,APR
6318572,2000-05-01,2000,MAY
9523213,2000-06-01,2000,JUN
13015026,2000-07-01,2000,JUL
10972781,2000-08-01,2000,AUG
7728788,2000-09-01,2000,SEP
6298745,2000-10-01,2000,OCT
3345501,2000-11-01,2000,NOV
2591176,2000-12-01,2000,DEC
2534405,2001-01-01,2001,JAN
2637859,2001-02-01,2001,FEB
3679398,2001-03-01,2001,MAR
4644594,2001-04-01,2001,APR
6226740,2001-05-01,2001,MAY
9254263,2001-06-01,2001,JUN
12576390,2001-07-01,2001,JUL
11183892,2001-08-01,2001,AUG
7533325,2001-09-01,2001,SEP
5514976,2001-10-01,2001,OCT
3180545,2001-11-01,2001,NOV
2433246,2001-12-01,2001,DEC
2515816,2002-01-01,2002,JAN
2717609,2002-02-01,2002,FEB
3727013,2002-03-01,2002,MAR
4348688,2002-04-01,2002,APR
6222278,2002-05-01,2002,MAY
9453318,2002-06-01,2002,JUN
12616975,2002-07-01,2002,JUL
11225590,2002-08-01,2002,AUG
7598594,2002-09-01,2002,SEP
5777474,2002-10-01,2002,OCT
3321244,2002-11-01,2002,NOV
2522163,2002-12-01,2002,DEC
2539320,2003-01-01,2003,JAN
2482795,2003-02-01,2003,FEB
3626202,2003-03-01,2003,MAR
4308261,2003-04-01,2003,APR
5854013,2003-05-01,2003,MAY
9362336,2003-06-01,2003,JUN
12055596,2003-07-01,2003,JUL
10911069,2003-08-01,2003,AUG
7214882,2003-09-01,2003,SEP
6000609,2003-10-01,2003,OCT
3261539,2003-11-01,2003,NOV
2600811,2003-12-01,2003,DEC
2486685,2004-01-01,2004,JAN
2667477,2004-02-01,2004,FEB
3727954,2004-03-01,2004,MAR
4487509,2004-04-01,2004,APR
6125252,2004-05-01,2004,MAY
8960056,2004-06-01,2004,JUN
11956134,2004-07-01,2004,JUL
10878120,2004-08-01,2004,AUG
7489369,2004-09-01,2004,SEP
5752821,2004-10-01,2004,OCT
3112241,2004-11-01,2004,NOV
2469656,2004-12-01,2004,DEC
2351152,2005-01-01,2005,JAN
2421740,2005-02-01,2005,FEB
4054095,2005-03-01,2005,MAR
4418611,2005-04-01,2005,APR
6140121,2005-05-01,2005,MAY
9122096,2005-06-01,2005,JUN
12227622,2005-07-01,2005,JUL
10615074,2005-08-01,2005,AUG
7294409,2005-09-01,2005,SEP
5485529,2005-10-01,2005,OCT
3635229,2005-11-01,2005,NOV
2520186,2005-12-01,2005,DEC
2372768,2006-01-01,2006,JAN
2486588,2006-02-01,2006,FEB
3474149,2006-03-01,2006,MAR
4468726,2006-04-01,2006,APR
5794894,2006-05-01,2006,MAY
8520007,2006-06-01,2006,JUN
11271409,2006-07-01,2006,JUL
9946879,2006-08-01,2006,AUG
7347151,2006-09-01,2006,SEP
5532378,2006-10-01,2006,OCT
2988469,2006-11-01,2006,NOV
2397629,2006-12-01,2006,DEC
2181504,2007-01-01,2007,JAN
2220033,2007-02-01,2007,FEB
3778140,2007-03-01,2007,MAR
4378155,2007-04-01,2007,APR
6134817,2007-05-01,2007,MAY
8888778,2007-06-01,2007,JUN
11583139,2007-07-01,2007,JUL
10434663,2007-08-01,2007,AUG
7675493,2007-09-01,2007,SEP
5565520,2007-10-01,2007,OCT
3216964,2007-11-01,2007,NOV
2350636,2007-12-01,2007,DEC
2102419,2008-01-01,2008,JAN
2315761,2008-02-01,2008,FEB
3685177,2008-03-01,2008,MAR
3952883,2008-04-01,2008,APR
5856407,2008-05-01,2008,MAY
8771733,2008-06-01,2008,JUN
11135792,2008-07-01,2008,JUL
10647169,2008-08-01,2008,AUG
7070736,2008-09-01,2008,SEP
5813134,2008-10-01,2008,OCT
3108985,2008-11-01,2008,NOV
2306277,2008-12-01,2008,DEC
2136412,2009-01-01,2009,JAN
2142636,2009-02-01,2009,FEB
3459449,2009-03-01,2009,MAR
4346314,2009-04-01,2009,APR
6155341,2009-05-01,2009,MAY
9099165,2009-06-01,2009,JUN
12032882,2009-07-01,2009,JUL
10979244,2009-08-01,2009,AUG
7727493,2009-09-01,2009,SEP
5498344,2009-10-01,2009,OCT
3170358,2009-11-01,2009,NOV
2294604,2009-12-01,2009,DEC
2039055,2010-01-01,2010,JAN
2019261,2010-02-01,2010,FEB
3610542,2010-03-01,2010,MAR
4656059,2010-04-01,2010,APR
6227519,2010-05-01,2010,MAY
9423405,2010-06-01,2010,JUN
12722355,2010-07-01,2010,JUL
11101160,2010-08-01,2010,AUG
8117764,2010-09-01,2010,SEP
6037260,2010-10-01,2010,OCT
3038968,2010-11-01,2010,NOV
2085671,2010-12-01,2010,DEC
1989130,2011-01-01,2011,JAN
2078555,2011-02-01,2011,FEB
3245261,2011-03-01,2011,MAR
4152293,2011-04-01,2011,APR
5830018,2011-05-01,2011,MAY
8823504,2011-06-01,2011,JUN
12483589,2011-07-01,2011,JUL
10848577,2011-08-01,2011,AUG
8043538,2011-09-01,2011,SEP
5809896,2011-10-01,2011,OCT
2949911,2011-11-01,2011,NOV
2352752,2011-12-01,2011,DEC
2090392,2012-01-01,2012,JAN
2264834,2012-02-01,2012,FEB
3632894,2012-03-01,2012,MAR
4470000,2012-04-01,2012,APR
6309952,2012-05-01,2012,MAY
9226519,2012-06-01,2012,JUN
12288304,2012-07-01,2012,JUL
10977509,2012-08-01,2012,AUG
8249943,2012-09-01,2012,SEP
5957485,2012-10-01,2012,OCT
3073937,2012-11-01,2012,NOV
2523682,2012-12-01,2012,DEC
2130269,2013-01-01,2013,JAN
2187491,2013-02-01,2013,FEB
3716902,2013-03-01,2013,MAR
4230337,2013-04-01,2013,APR
6542681,2013-05-01,2013,MAY
9747033,2013-06-01,2013,JUN
12405023,2013-07-01,2013,JUL
11132949,2013-08-01,2013,AUG
7986962,2013-09-01,2013,SEP
3476426,2013-10-01,2013,OCT
3091295,2013-11-01,2013,NOV
2488679,2013-12-01,2013,DEC
2170640,2014-01-01,2014,JAN
2306336,2014-02-01,2014,FEB
3727293,2014-03-01,2014,MAR
4529082,2014-04-01,2014,APR
6665374,2014-05-01,2014,MAY
9753531,2014-06-01,2014,JUN
12275030,2014-07-01,2014,JUL
11947219,2014-08-01,2014,AUG
8260091,2014-09-01,2014,SEP
6268231,2014-10-01,2014,OCT
3249268,2014-11-01,2014,NOV
2774925,2014-12-01,2014,DEC
2526242,2015-01-01,2015,JAN
2552593,2015-02-01,2015,FEB
4296086,2015-03-01,2015,MAR
5120812,2015-04-01,2015,APR
7495882,2015-05-01,2015,MAY
10715685,2015-06-01,2015,JUN
13277149,2015-07-01,2015,JUL
12123629,2015-08-01,2015,AUG
9098293,2015-09-01,2015,SEP
6700220,2015-10-01,2015,OCT
3520421,2015-11-01,2015,NOV
2878319,2015-12-01,2015,DEC
2601967,2016-01-01,2016,JAN
2857589,2016-02-01,2016,FEB
4885889,2016-03-01,2016,MAR
5208696,2016-04-01,2016,APR
8156232,2016-05-01,2016,MAY
11728665,2016-06-01,2016,JUN
14302742,2016-07-01,2016,JUL
12780733,2016-08-01,2016,AUG
10335876,2016-09-01,2016,SEP
7576020,2016-10-01,2016,OCT
4176455,2016-11-01,2016,NOV
3008347,2016-12-01,2016,DEC
2797836,2017-01-01,2017,JAN
2979450,2017-02-01,2017,FEB
4780027,2017-03-01,2017,MAR
5876827,2017-04-01,2017,APR
8130805,2017-05-01,2017,MAY
11824605,2017-06-01,2017,JUN
14330424,2017-07-01,2017,JUL
13602162,2017-08-01,2017,AUG
10373641,2017-09-01,2017,SEP
7305180,2017-10-01,2017,OCT
4100869,2017-11-01,2017,NOV
3289569,2017-12-01,2017,DEC
2768334,2018-01-01,2018,JAN
3000298,2018-02-01,2018,FEB
4933896,2018-03-01,2018,MAR
5553518,2018-04-01,2018,APR
8266208,2018-05-01,2018,MAY
11622512,2018-06-01,2018,JUN
14217049,2018-07-01,2018,JUL
12180976,2018-08-01,2018,AUG
10385315,2018-09-01,2018,SEP
7252027,2018-10-01,2018,OCT
4182558,2018-11-01,2018,NOV
3351444,2018-12-01,2018,DEC
